Episode;AvgDrag;AvgLift;AvgRecircArea;EnvNum;EpiReward
1;-0.8257065415382385;-0.0002856848877854645;2.217268705368042;1;0
2;-0.8314985036849976;0.00022933473519515246;2.217268705368042;1;0
3;-0.8314985036849976;0.00022933473519515246;2.217268705368042;1;0
4;-0.7251328776379387;-0.02804411369147476;1.7737955287283584;1;-0.121379256
5;-0.7251328776379387;-0.02804411369147476;1.7737955287283584;1;-0.121379256
6;-0.7251326251582878;-0.028054282063306343;1.773822758970905;1;-0.121379256
7;-0.7252760832309723;-0.031303837184072474;1.75699607963562;1;-0.060689628
8;-0.7251328776379387;-0.02804411369147476;1.7737955287283584;1;-0.121379256
9;-0.7274414177188379;-0.02855359460331756;1.7515102032415881;1;-0.21416402
10;-0.7251326251582878;-0.028054282063306343;1.773822758970905;1;-0.121379256
11;-0.7252755780696869;-0.0313241820624331;1.7570505619049073;1;-0.060689628
12;-0.7252760832309723;-0.031303837184072474;1.75699607963562;1;-0.060689628
13;-0.7251326251582878;-0.028054282063306343;1.773822758970905;1;-0.121379256
14;-0.7252755780696869;-0.0313241820624331;1.7570505619049073;1;-0.060689628
15;-0.7252760832309723;-0.031303837184072474;1.75699607963562;1;-0.060689628
16;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060153298
17;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05989045
18;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060029626
19;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060191415
20;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.0598722
21;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060029984
22;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06053756
23;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059853267
24;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059834108
25;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06012627
26;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060405906
27;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060353413
28;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059921775
29;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059812933
30;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05997627
31;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059746727
32;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06024388
33;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06050456
34;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060541615
35;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059813097
36;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06013923
37;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06006385
38;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059906706
39;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05981379
40;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060523152
41;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060169134
42;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05983844
43;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060047865
44;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059940875
45;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05992348
46;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059978824
47;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060046017
48;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059938688
49;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059864007
50;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060235046
51;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059851512
52;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059805635
53;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05974111
54;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060102556
55;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060515128
56;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05993373
57;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06049082
58;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059976682
59;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06014326
60;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059868187
61;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05989091
62;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059965514
63;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060249984
64;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060036004
65;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060074054
66;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059874382
67;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060117222
68;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059935383
69;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06041137
70;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060091972
71;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059780233
72;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05974892
73;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059946433
74;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060264714
75;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060103573
76;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060408354
77;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060745914
78;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05980538
79;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05995745
80;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06014674
81;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059803843
82;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059811965
83;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.0597461
84;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05995164
85;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060504876
86;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059863497
87;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059788376
88;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059942055
89;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060044885
90;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06007131
91;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06001258
92;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059885405
93;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.060235288
94;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.06032785
95;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.05978378
96;-0.7254333004911528;-0.023477198342763076;1.7583115032766943;1;-0.059790958
97;-0.700799459633396;0.0002615253000482365;3.0723816440612652;1;0
98;-0.726389467716217;-0.09992542862892151;1.7604976892471313;1;0
99;-0.726389467716217;-0.09992542862892151;1.7604976892471313;1;0
102;-0.726389467716217;-0.09992542862892151;1.7604976892471313;1;0
103;-0.7287457774555872;-0.13155590210642135;1.8166454576310658;1;-0.0072024083
104;-0.729150861028641;-0.1097909626033571;1.82012296858288;1;-0.0077235675
105;-0.7288949839652531;-0.1224059324179377;1.816885721115839;1;-0.007386327
106;-0.7287096816395956;-0.13410340131275236;1.8168904365055145;1;-0.007161349
107;-0.7291960697325449;-0.10782065904802746;1.8207235582291135;1;-0.0077864816
108;-0.7288943841343835;-0.12243948545720842;1.8169169501652793;1;-0.007385552
109;-0.7285130137488955;-0.15346211124034154;1.8170044970890833;1;-0.007035272
112;-0.726389467716217;-0.09992542862892151;1.7604976892471313;1;0
113;-0.7287457774555872;-0.13155590210642135;1.8166454576310658;1;-0.0072024083
114;-0.729150861028641;-0.1097909626033571;1.82012296858288;1;-0.0077235675
117;-0.726389467716217;-0.09992542862892151;1.7604976892471313;1;0
118;-0.7287457774555872;-0.13155590210642135;1.8166454576310658;1;-0.0072024083
119;-0.729150861028641;-0.1097909626033571;1.82012296858288;1;-0.0077235675
120;-0.7288949839652531;-0.1224059324179377;1.816885721115839;1;-0.007386327
