t,x,y,p,u,v
0.0,0.7599999999999999,0.20000000000000004,1.0,1.0,0.0
0.0,2.75,0.2,1.0000000000000004,1.0000000000000004,0.0
0.0,4.7799999999999985,0.2,0.9999999999999998,0.9999999999999998,0.0
0.5,0.7599999999999999,0.20000000000000004,0.6902126241967839,0.20935520789155468,-0.37415229386758464
0.5,2.75,0.2,0.0029494456290981054,0.7770177587461198,-0.01920462959166502
0.5,4.7799999999999985,0.2,1.0053291547252465,1.001614261000874,6.032336836065322e-05
0.9999999999999999,0.7599999999999999,0.20000000000000004,0.8576160431025054,0.12110073059193444,-0.11756204454001819
0.9999999999999999,2.75,0.2,1.1463219513426508,0.9639740264488602,-0.01030157634163155
0.9999999999999999,4.7799999999999985,0.2,1.0880117255785111,0.9793085326885714,-0.005592930885584396
1.5000000000000002,0.7599999999999999,0.20000000000000004,0.5838315351212272,-0.07529295432601799,-0.004524138411432634
1.5000000000000002,2.75,0.2,1.0344835629711342,0.9179910012339563,-0.01735703951624396
1.5000000000000002,4.7799999999999985,0.2,1.083703919817114,0.9927064487518891,-0.0016218058933255698
2.0000000000000004,0.7599999999999999,0.20000000000000004,0.5919066667493371,-0.09386919226368508,0.07394360034019307
2.0000000000000004,2.75,0.2,0.9632729986969476,0.8631559944005577,-0.031015136073192107
2.0000000000000004,4.7799999999999985,0.2,0.9525461517360572,0.9647054090127211,-0.0031666448148144604
2.500000000000001,0.7599999999999999,0.20000000000000004,0.6153112380352963,-0.10114114812478353,0.10038830967024505
2.500000000000001,2.75,0.2,1.0229942182053453,0.808112736361276,-0.05381722478750924
2.500000000000001,4.7799999999999985,0.2,0.9814324793718611,0.9624471297557886,-0.0038286716297901116
3.0000000000000013,0.7599999999999999,0.20000000000000004,0.6791671092649615,-0.0915237543830755,0.10038569722837257
3.0000000000000013,2.75,0.2,1.1020734544625845,0.7313104191247122,-0.07253769168919155
3.0000000000000013,4.7799999999999985,0.2,1.0065099175789487,0.9595469916121391,-0.0061314168093336285
3.5000000000000018,0.7599999999999999,0.20000000000000004,0.5862364713827263,-0.09474610709736325,0.09932005424499561
3.5000000000000018,2.75,0.2,1.012020056106602,0.6255372461320553,-0.0811988814429475
3.5000000000000018,4.7799999999999985,0.2,1.0672938996645591,0.9601241206262618,-0.007029509936521127
4.000000000000002,0.7599999999999999,0.20000000000000004,0.6442529158038006,-0.08430450525759854,0.09023298068452815
4.000000000000002,2.75,0.2,1.0234765090507407,0.5342484773913773,-0.09484738128366159
4.000000000000002,4.7799999999999985,0.2,0.9706167441728213,0.9287740717461674,-0.011457415308719299
4.5,0.7599999999999999,0.20000000000000004,0.6492769809363875,-0.07857146815989982,0.0828254668029712
4.5,2.75,0.2,1.0200323331269157,0.4421691787387517,-0.10153545009790425
4.5,4.7799999999999985,0.2,1.0249063399702845,0.9134348026180206,-0.01793088635819113
4.999999999999998,0.7599999999999999,0.20000000000000004,0.6631025654364288,-0.07340272798932444,0.0755563348072828
4.999999999999998,2.75,0.2,0.9904157721936963,0.35287331564271723,-0.10162059714289437
4.999999999999998,4.7799999999999985,0.2,1.0219593990791898,0.8775818297779396,-0.02487876121699226
5.4999999999999964,0.7599999999999999,0.20000000000000004,0.6689194091569226,-0.0693073155362241,0.06970403567489736
5.4999999999999964,2.75,0.2,0.9667961080664473,0.2741659266585445,-0.09731556923484729
5.4999999999999964,4.7799999999999985,0.2,1.029846535126835,0.8360621618299214,-0.028394861954947538
5.999999999999995,0.7599999999999999,0.20000000000000004,0.6745903145682993,-0.06609354295606172,0.06501744476570767
5.999999999999995,2.75,0.2,0.9353936724748056,0.20459283491413696,-0.0904835918692447
5.999999999999995,4.7799999999999985,0.2,1.0290252317818491,0.7921666577131754,-0.03139960762324871
6.499999999999993,0.7599999999999999,0.20000000000000004,0.680993057348853,-0.06351263798236768,0.06135236217625592
6.499999999999993,2.75,0.2,0.9117397724406542,0.14717230205449616,-0.08251775094561654
6.499999999999993,4.7799999999999985,0.2,1.0315894202200246,0.7483224597499315,-0.03561208187269169
6.999999999999991,0.7599999999999999,0.20000000000000004,0.6871382157325634,-0.06162072934938069,0.05857349793149697
6.999999999999991,2.75,0.2,0.8894940946340529,0.10065249626342275,-0.07428775971307922
6.999999999999991,4.7799999999999985,0.2,1.0336161944113558,0.7039695825776688,-0.03928436572869463
7.499999999999989,0.7599999999999999,0.20000000000000004,0.6925295920932237,-0.060124259356535835,0.05625541517959641
7.499999999999989,2.75,0.2,0.8711396232189343,0.0642622218182109,-0.06654931416574286
7.499999999999989,4.7799999999999985,0.2,1.0330822160301332,0.659608639856222,-0.041962258744082145
7.999999999999988,0.7599999999999999,0.20000000000000004,0.6960682309727633,-0.059018322017211425,0.05438186616372059
7.999999999999988,2.75,0.2,0.8558278713039218,0.03636618648114612,-0.059326922621576135
7.999999999999988,4.7799999999999985,0.2,1.0314321689085841,0.615729058239997,-0.04380416758310434
8.499999999999986,0.7599999999999999,0.20000000000000004,0.6991423715707263,-0.05820155761725306,0.05271432829440748
8.499999999999986,2.75,0.2,0.8437239686588905,0.01526912681440714,-0.05255598846258375
8.499999999999986,4.7799999999999985,0.2,1.0272599126811532,0.5724525762313094,-0.0450375809749248
8.999999999999984,0.7599999999999999,0.20000000000000004,0.7032057185384804,-0.057575133921154535,0.05114458614630897
8.999999999999984,2.75,0.2,0.8350914063549895,-0.00026006681454626007,-0.0461518757330629
8.999999999999984,4.7799999999999985,0.2,1.0232317303350278,0.5307394622242585,-0.04600166148295481
9.499999999999982,0.7599999999999999,0.20000000000000004,0.7067164049107677,-0.057060751331209504,0.04966816504756254
9.499999999999982,2.75,0.2,0.8289188339343714,-0.011683137026826572,-0.03994616444894543
9.499999999999982,4.7799999999999985,0.2,1.0177869249614064,0.4912446641473225,-0.04682624025547723
9.99999999999998,0.7599999999999999,0.20000000000000004,0.7098479070953638,-0.05661712458695506,0.048251719612172984
9.99999999999998,2.75,0.2,0.823276041264796,-0.01984681228099078,-0.034032475190955036
9.99999999999998,4.7799999999999985,0.2,1.001479805372504,0.4557759514099248,-0.04767210313179661
10.499999999999979,0.7599999999999999,0.20000000000000004,0.707388026612305,-0.055884339010219886,0.046859545761667835
10.499999999999979,2.75,0.2,0.8090608133920322,-0.02403110789196428,-0.02851859032695198
10.499999999999979,4.7799999999999985,0.2,1.002305667169172,0.420853274615693,-0.048379523051254425
10.999999999999977,0.7599999999999999,0.20000000000000004,0.7024346924736995,-0.05536320603201678,0.04539993285395473
10.999999999999977,2.75,0.2,0.8258151544940298,-0.031730432244097884,-0.023557866369537134
10.999999999999977,4.7799999999999985,0.2,1.0032055034124145,0.3882413871608639,-0.04889360584597106
11.499999999999975,0.7599999999999999,0.20000000000000004,0.7279581542785342,-0.05752377724733164,0.04575719840482353
11.499999999999975,2.75,0.2,0.819596106574964,-0.0337941787544397,-0.019772490953561112
11.499999999999975,4.7799999999999985,0.2,0.9820881940166422,0.3624193777763168,-0.04870036401706557
11.999999999999973,0.7599999999999999,0.20000000000000004,0.70872382427949,-0.05551591054319602,0.044931342681878386
11.999999999999973,2.75,0.2,0.8142260685425,-0.03536953907667222,-0.016939402340314193
11.999999999999973,4.7799999999999985,0.2,0.9828140977184567,0.33624099328625234,-0.04766546399924472
12.499999999999972,0.7599999999999999,0.20000000000000004,0.7165713546534674,-0.05562536680602502,0.04463971567580109
12.499999999999972,2.75,0.2,0.8203793426007991,-0.03809716042512329,-0.015582286569240947
12.499999999999972,4.7799999999999985,0.2,0.9756875413183481,0.31268272350376264,-0.04560533166828758
12.99999999999997,0.7599999999999999,0.20000000000000004,0.7203337419336205,-0.05578237839411796,0.044921399880211495
12.99999999999997,2.75,0.2,0.8236684357631648,-0.03955677810513614,-0.01541731102172265
12.99999999999997,4.7799999999999985,0.2,0.9700848402988258,0.292244760462024,-0.0424816582826045
13.499999999999968,0.7599999999999999,0.20000000000000004,0.7217870892229494,-0.055774062541364036,0.045356141407465814
13.499999999999968,2.75,0.2,0.819868455225414,-0.03991760074509665,-0.01637175639670463
13.499999999999968,4.7799999999999985,0.2,0.9594875218656655,0.27426875957946467,-0.03849908129317167
13.999999999999966,0.7599999999999999,0.20000000000000004,0.7174535267940445,-0.05479421938423784,0.04545062024536083
13.999999999999966,2.75,0.2,0.8187500720422358,-0.040404163209022,-0.01796544733557028
13.999999999999966,4.7799999999999985,0.2,0.9580073455861383,0.25639741170958413,-0.03410146111751072
14.499999999999964,0.7599999999999999,0.20000000000000004,0.7245473819063559,-0.05495971537598646,0.045824299749629996
14.499999999999964,2.75,0.2,0.824934102124443,-0.04059956536514288,-0.01989655126547788
14.499999999999964,4.7799999999999985,0.2,0.9525174487059729,0.24166796883434338,-0.029862078994357333
14.999999999999963,0.7599999999999999,0.20000000000000004,0.722694549867237,-0.054966003768531925,0.046251194998185856
14.999999999999963,2.75,0.2,0.8213446643700595,-0.040308962776211696,-0.021567995825176437
14.999999999999963,4.7799999999999985,0.2,0.9511846022208443,0.22862252431428906,-0.026272576361784136
15.499999999999961,0.7599999999999999,0.20000000000000004,0.7244046206375767,-0.05468603204279861,0.046276439936888236
15.499999999999961,2.75,0.2,0.8218404356971369,-0.039903848237184666,-0.022723160513593695
15.499999999999961,4.7799999999999985,0.2,0.945801236578511,0.21682363555129275,-0.023931124864835354
15.99999999999996,0.7599999999999999,0.20000000000000004,0.7261144210564503,-0.05465831941361222,0.04619078894385434
15.99999999999996,2.75,0.2,0.8224520969661561,-0.039198350656975814,-0.022981272442070686
15.99999999999996,4.7799999999999985,0.2,0.9451088691261769,0.2074528684584063,-0.023106204066822275
16.499999999999964,0.7599999999999999,0.20000000000000004,0.7269521442210618,-0.05464119832212768,0.04585432830898076
16.499999999999964,2.75,0.2,0.8224397360678021,-0.03862889824137109,-0.02224085182209948
16.499999999999964,4.7799999999999985,0.2,0.9432200302450996,0.1997357305596822,-0.023812526477524888
16.99999999999997,0.7599999999999999,0.20000000000000004,0.7273427301775308,-0.054701860682568354,0.04533980010869818
16.99999999999997,2.75,0.2,0.8216199529827801,-0.03834421720703958,-0.020553541189768054
16.99999999999997,4.7799999999999985,0.2,0.9415489290322975,0.19373114447404347,-0.025791034033088994
17.49999999999998,0.7599999999999999,0.20000000000000004,0.728950397195475,-0.054668362036944015,0.04464415913660342
17.49999999999998,2.75,0.2,0.822047712345513,-0.03829994747262222,-0.01815088357127439
17.49999999999998,4.7799999999999985,0.2,0.9393393507576562,0.18921095003806643,-0.02854147341561716
17.999999999999986,0.7599999999999999,0.20000000000000004,0.7294389886168776,-0.05474532860386205,0.043953445146852434
17.999999999999986,2.75,0.2,0.8224454233336234,-0.03869107116982569,-0.015367044144079047
17.999999999999986,4.7799999999999985,0.2,0.9385495383770759,0.18622519840881552,-0.03140789801229489
18.499999999999993,0.7599999999999999,0.20000000000000004,0.7301941782354594,-0.05477040709928563,0.043312684712942306
18.499999999999993,2.75,0.2,0.8226853386631282,-0.03956577568955149,-0.012664130849960422
18.499999999999993,4.7799999999999985,0.2,0.9366363198176874,0.1840544409694344,-0.03369319410102506
19.0,0.7599999999999999,0.20000000000000004,0.7307946354480376,-0.05478330095802832,0.04284661794585123
19.0,2.75,0.2,0.8234593623384283,-0.040766896107602785,-0.010487202939024744
19.0,4.7799999999999985,0.2,0.9351579445147462,0.18250887931869264,-0.03480390198535759
19.500000000000007,0.7599999999999999,0.20000000000000004,0.7313328718477298,-0.05476091328638505,0.042621494047312816
19.500000000000007,2.75,0.2,0.8242042535492458,-0.04222436208388793,-0.009223297866198037
19.500000000000007,4.7799999999999985,0.2,0.9336316818141993,0.18106903049122286,-0.03433380443160711
20.000000000000014,0.7599999999999999,0.20000000000000004,0.7317540252081279,-0.05470064363879493,0.04267605935662013
20.000000000000014,2.75,0.2,0.8250366293491929,-0.04373723112244948,-0.009117892000254915
20.000000000000014,4.7799999999999985,0.2,0.9322383676256647,0.17932114579248853,-0.03215727186300593
20.50000000000002,0.7599999999999999,0.20000000000000004,0.7321687062045202,-0.05460429039859316,0.04300257713586185
20.50000000000002,2.75,0.2,0.8257849682523566,-0.045138336561646994,-0.010229445102430583
20.50000000000002,4.7799999999999985,0.2,0.9310696747356122,0.17694291960652644,-0.028450754295642113
21.00000000000003,0.7599999999999999,0.20000000000000004,0.732594663541317,-0.05447992630469135,0.043548517854932745
21.00000000000003,2.75,0.2,0.8264223377787944,-0.04624067209263605,-0.012408230637175116
21.00000000000003,4.7799999999999985,0.2,0.9302404642492491,0.1737706266835356,-0.02368526286536901
21.500000000000036,0.7599999999999999,0.20000000000000004,0.7330252077183853,-0.054340587546141385,0.04422101525503548
21.500000000000036,2.75,0.2,0.826842296635279,-0.0469271943302782,-0.015313635274095752
21.500000000000036,4.7799999999999985,0.2,0.9297509625236791,0.16984270642848165,-0.018561951334687188
22.000000000000043,0.7599999999999999,0.20000000000000004,0.733530350037098,-0.05420570333715786,0.04490574505231398
22.000000000000043,2.75,0.2,0.8269427461436911,-0.047105081454405145,-0.01846524424928687
22.000000000000043,4.7799999999999985,0.2,0.9295369857739785,0.16538034365438,-0.01390643922615586
22.50000000000005,0.7599999999999999,0.20000000000000004,0.7339690607494442,-0.05408331241384979,0.0454765120104476
22.50000000000005,2.75,0.2,0.8268098132134983,-0.04678940876369546,-0.021317228279250314
22.50000000000005,4.7799999999999985,0.2,0.9297735876464117,0.1606956368941597,-0.010530879184646857
