n,t,i,p,u,v
258,2.800000000000001,3,0.01103777449681006,0.0004080355782245876,0.00014228760039627195
259,2.800000000000001,1,-,-,-
260,2.800000000000001,2,-,-,-
261,2.800000000000001,3,0.012225267994453875,0.00045024905380016767,0.0001561041604621405
262,2.9000000000000012,1,-,-,-
263,2.9000000000000012,2,-,-,-
264,2.9000000000000012,3,0.011473228163871621,0.000420843161658877,0.00014764924597014152
265,2.9000000000000012,1,-,-,-
266,2.9000000000000012,2,-,-,-
267,2.9000000000000012,3,0.010598470278799291,0.00037693841353846617,0.0001331970135463005
268,2.9000000000000012,1,-,-,-
269,2.9000000000000012,2,-,-,-
270,2.9000000000000012,3,0.01132373816990942,0.00041820526669321384,0.0001426946841007946
271,3.0000000000000013,1,-,-,-
272,3.0000000000000013,2,-,-,-
273,3.0000000000000013,3,0.010351549198754612,0.00038641184011633216,0.0001344563978374013
274,3.0000000000000013,1,-,-,-
275,3.0000000000000013,2,-,-,-
276,3.0000000000000013,3,0.009543740656193142,0.0003497335601966701,0.00012063692280959072
277,3.0000000000000013,1,-,-,-
278,3.0000000000000013,2,-,-,-
279,3.0000000000000013,3,0.010178418796885318,0.0003880222424248094,0.0001334002934381844
280,3.1000000000000014,1,-,-,-
281,3.1000000000000014,2,-,-,-
282,3.1000000000000014,3,0.009484864065373346,0.0003668857917316891,0.000125468576394443
283,3.1000000000000014,1,-,-,-
284,3.1000000000000014,2,-,-,-
285,3.1000000000000014,3,0.00887578740671144,0.00034078990236734494,0.00011365671594748471
286,3.1000000000000014,1,-,-,-
287,3.1000000000000014,2,-,-,-
288,3.1000000000000014,3,0.009608323174087545,0.0003737988148582962,0.00012615234500113398
289,3.2000000000000015,1,-,-,-
290,3.2000000000000015,2,-,-,-
291,3.2000000000000015,3,0.009040866444829971,0.0003598086512755007,0.00011502712791231454
292,3.2000000000000015,1,-,-,-
293,3.2000000000000015,2,-,-,-
294,3.2000000000000015,3,0.008460458206555888,0.00032492572876829755,0.00010258693953258306
295,3.2000000000000015,1,-,-,-
296,3.2000000000000015,2,-,-,-
297,3.2000000000000015,3,0.009154671757996105,0.000365455690353675,0.00011078019580600408
298,3.3000000000000016,1,-,-,-
299,3.3000000000000016,2,-,-,-
300,3.3000000000000016,3,0.008569377902700206,0.0003393780929647725,0.00010215323294721219
301,3.3000000000000016,1,-,-,-
302,3.3000000000000016,2,-,-,-
303,3.3000000000000016,3,0.008001215266403966,0.0003062025921352847,9.29640108244099e-05
304,3.3000000000000016,1,-,-,-
305,3.3000000000000016,2,-,-,-
306,3.3000000000000016,3,0.008622881074596599,0.0003354861204829711,0.00010101122958572764
307,3.4000000000000017,1,-,-,-
308,3.4000000000000017,2,-,-,-
309,3.4000000000000017,3,0.008075744353842191,0.00031542457579763545,9.556580894984787e-05
310,3.4000000000000017,1,-,-,-
311,3.4000000000000017,2,-,-,-
312,3.4000000000000017,3,0.007558170456161301,0.00028666041094833054,8.919500685669947e-05
313,3.4000000000000017,1,-,-,-
314,3.4000000000000017,2,-,-,-
315,3.4000000000000017,3,0.00814573584944695,0.00032179412090725933,9.733657726360088e-05
316,3.5000000000000018,1,-,-,-
317,3.5000000000000018,2,-,-,-
318,3.5000000000000018,3,0.007660191842016919,0.0002953519141917366,9.168664143807516e-05
319,3.5000000000000018,1,-,-,-
320,3.5000000000000018,2,-,-,-
321,3.5000000000000018,3,0.007191678888195404,0.0002679941260258092,8.409668421036067e-05
322,3.5000000000000018,1,-,-,-
323,3.5000000000000018,2,-,-,-
324,3.5000000000000018,3,0.007755218261915063,0.00029278965135193696,9.018141307447723e-05
325,3.600000000000002,1,-,-,-
326,3.600000000000002,2,-,-,-
327,3.600000000000002,3,0.007304238270090868,0.00027521836438970676,8.374864149315363e-05
328,3.600000000000002,1,-,-,-
329,3.600000000000002,2,-,-,-
330,3.600000000000002,3,0.006853095064363649,0.0002468667196186683,7.714620811558065e-05
331,3.600000000000002,1,-,-,-
332,3.600000000000002,2,-,-,-
333,3.600000000000002,3,0.007365545254141839,0.00026959227407290047,8.273837207761711e-05
334,3.700000000000002,1,-,-,-
335,3.700000000000002,2,-,-,-
336,3.700000000000002,3,0.006886624689825775,0.0002569823379378188,7.76210312747246e-05
337,3.700000000000002,1,-,-,-
338,3.700000000000002,2,-,-,-
339,3.700000000000002,3,0.0064213003590415435,0.00022956626822718455,7.190571743360915e-05
340,3.700000000000002,1,-,-,-
341,3.700000000000002,2,-,-,-
342,3.700000000000002,3,0.006844258342923212,0.00025153692272170814,7.761457679929433e-05
343,3.800000000000002,1,-,-,-
344,3.800000000000002,2,-,-,-
345,3.800000000000002,3,0.006340813524446711,0.00023573829631800904,7.383149810766013e-05
346,3.800000000000002,1,-,-,-
347,3.800000000000002,2,-,-,-
348,3.800000000000002,3,0.005890694409282768,0.00021737829697970575,6.893567072263618e-05
349,3.800000000000002,1,-,-,-
350,3.800000000000002,2,-,-,-
351,3.800000000000002,3,0.006250630330296089,0.00023284750320984828,7.400763223820814e-05
352,3.900000000000002,1,-,-,-
353,3.900000000000002,2,-,-,-
354,3.900000000000002,3,0.005799205040743815,0.00021793250711604658,6.973683289721363e-05
355,3.900000000000002,1,-,-,-
356,3.900000000000002,2,-,-,-
357,3.900000000000002,3,0.0054056014192309185,0.000197338483874323,6.550304602893465e-05
358,3.900000000000002,1,-,-,-
359,3.900000000000002,2,-,-,-
360,3.900000000000002,3,0.005746752646472212,0.000211423774624498,6.87178201898199e-05
361,4.000000000000002,1,-,-,-
362,4.000000000000002,2,-,-,-
363,4.000000000000002,3,0.005364641353036951,0.00019816853058394465,6.391953794675693e-05
364,4.000000000000002,1,-,-,-
365,4.000000000000002,2,-,-,-
366,4.000000000000002,3,0.005021954771085583,0.0001817157884689069,5.846475317602063e-05
367,4.000000000000002,1,-,-,-
368,4.000000000000002,2,-,-,-
369,4.000000000000002,3,0.005343660110068087,0.00020027209032372236,6.24665462490257e-05
370,4.100000000000001,1,-,-,-
371,4.100000000000001,2,-,-,-
372,4.100000000000001,3,0.00501178143218052,0.00018411280540903946,5.703435341516451e-05
373,4.100000000000001,1,-,-,-
374,4.100000000000001,2,-,-,-
375,4.100000000000001,3,0.004707622149048618,0.00016667715513154105,5.220163470208992e-05
376,4.100000000000001,1,-,-,-
377,4.100000000000001,2,-,-,-
378,4.100000000000001,3,0.005007643937034455,0.00017976813850915628,5.534144258828621e-05
379,4.200000000000001,1,-,-,-
380,4.200000000000001,2,-,-,-
381,4.200000000000001,3,0.004713184322783425,0.00017064002360690542,5.2587772327355176e-05
382,4.200000000000001,1,-,-,-
383,4.200000000000001,2,-,-,-
384,4.200000000000001,3,0.004442516302055906,0.00015684479069594674,4.873865461558247e-05
385,4.200000000000001,1,-,-,-
386,4.200000000000001,2,-,-,-
387,4.200000000000001,3,0.004724914411279221,0.00016978705045790483,5.25106208471958e-05
388,4.300000000000001,1,-,-,-
389,4.300000000000001,2,-,-,-
390,4.300000000000001,3,0.00447216187465527,0.00016275379352386943,4.958752331815505e-05
391,4.300000000000001,1,-,-,-
392,4.300000000000001,2,-,-,-
393,4.300000000000001,3,0.004235831080975183,0.0001495311762654279,4.623350318398312e-05
394,4.300000000000001,1,-,-,-
395,4.300000000000001,2,-,-,-
396,4.300000000000001,3,0.004514434416281999,0.00016277097615151687,4.8867234472846275e-05
397,4.4,1,-,-,-
398,4.4,2,-,-,-
399,4.4,3,0.004304734690485814,0.0001584930127337565,4.64233743305997e-05
400,4.4,1,-,-,-
401,4.4,2,-,-,-
402,4.4,3,0.0040933793120326864,0.00014082340729636739,4.3391109835814406e-05
403,4.4,1,-,-,-
404,4.4,2,-,-,-
405,4.4,3,0.00436646103055723,0.00015270036900889237,4.555500418807467e-05
406,4.5,1,-,-,-
407,4.5,2,-,-,-
408,4.5,3,0.0041695236577116235,0.00014815244246687531,4.318293710339926e-05
409,4.5,1,-,-,-
410,4.5,2,-,-,-
411,4.5,3,0.003953741578011907,0.00013914453469728217,4.011629913746815e-05
412,4.5,1,-,-,-
413,4.5,2,-,-,-
414,4.5,3,0.004199917421036771,0.0001534824991722565,4.2947775486646565e-05
415,4.6,1,-,-,-
416,4.6,2,-,-,-
417,4.6,3,0.003972320893599681,0.00014803844478257714,4.051927420066269e-05
418,4.6,1,-,-,-
419,4.6,2,-,-,-
420,4.6,3,0.00371673086160357,0.00015909494844440977,3.738537148097435e-05
421,4.6,1,-,-,-
422,4.6,2,-,-,-
423,4.6,3,0.003925014940912711,0.00015385951725994262,3.986513266794473e-05
424,4.699999999999999,1,-,-,-
425,4.699999999999999,2,-,-,-
426,4.699999999999999,3,0.00362316351947858,0.00016462162863036558,3.8482731109798457e-05
427,4.699999999999999,1,-,-,-
428,4.699999999999999,2,-,-,-
429,4.699999999999999,3,0.0033262854856664996,0.0001367270169142896,3.562778556371686e-05
430,4.699999999999999,1,-,-,-
431,4.699999999999999,2,-,-,-
432,4.699999999999999,3,0.003504177003072728,0.00014294900527669018,3.8504424065558516e-05
433,4.799999999999999,1,-,-,-
434,4.799999999999999,2,-,-,-
435,4.799999999999999,3,0.0032138456070840388,0.0001267978414934049,3.6482396646601686e-05
436,4.799999999999999,1,-,-,-
437,4.799999999999999,2,-,-,-
438,4.799999999999999,3,0.0030135535811923538,0.0001204808998199458,3.425926675122763e-05
439,4.799999999999999,1,-,-,-
440,4.799999999999999,2,-,-,-
441,4.799999999999999,3,0.0032351256099116647,0.00011237854831428929,3.596438528434379e-05
442,4.899999999999999,1,-,-,-
443,4.899999999999999,2,-,-,-
444,4.899999999999999,3,0.0032049397070282606,0.00010354330844805903,3.4888344720526865e-05
445,4.899999999999999,1,-,-,-
446,4.899999999999999,2,-,-,-
447,4.899999999999999,3,0.003173830433992473,0.0001026106367702024,3.319888602445062e-05
448,4.899999999999999,1,-,-,-
449,4.899999999999999,2,-,-,-
450,4.899999999999999,3,0.0034658697104846038,0.00012555217962842373,3.5795295279298725e-05
451,4.999999999999998,1,-,-,-
452,4.999999999999998,2,-,-,-
453,4.999999999999998,3,0.0035132167634811355,0.00013001287173187084,3.5092851451771375e-05
454,4.999999999999998,1,-,-,-
455,4.999999999999998,2,-,-,-
456,4.999999999999998,3,0.003383516492499839,0.00013903449187069571,3.1410440301082194e-05
457,4.999999999999998,1,-,-,-
458,4.999999999999998,2,-,-,-
